Debiteurnummer;Naam1;Naam2;Zoeknaam;Adres;Postcode;Plaats;Land;Contact;Telefoon;Mobiel;Email;Email cc;Email factuur;Email factuur cc;BTW nummer
00001283;AHLMANN NEDERLAND BV;;AHLMANN ;ONDERWAARD 11;5324 JW ;AMMERZODEN;NL      ;A. van Hoek;073-5997755;;alwin@ahlmann.nl                                            ;;;;
00001284;VAN DER PEET;(VD PEET NIEUWBOUW EN ONDERHOU;PEET    ;TRANSPORTWEG 64;2421 LS ;NIEUWKOOP;NL      ;T.a.v. T. Schouwerwou;0172-579318;;schouwerwou@vanderpeet.nl                                   ;grosveld@vanderpeet.nl;facturen@vanderpeet.nl;;
00001285;POSTMUS REPARATIES;;POSTMUS ;Stationsweg 47;9171 LR ;BLIJE   ;NL      ;T.a.v. G. Postmus;0519-561571;;info@postmusblija.nl                                        ;;Digitalefacturenpostmusblije@gmail.com;;
00001286;VSH MACHINERY;;STIPHOUT;NOTELSTRAAT 48;5085 EV ;ESBEEK  ;NL      ;;013-5051218;06-53296972;info@vanstiphouthydrauliek.nl                               ;;;;
00001287;VAN STRATUM HORST B.V.;;STRATUM ;EXPEDITIESTRAAT 17;5961 PX ;HORST   ;NL      ;T.A.V. M. JANSSEN;077-3981769;;info@stratum-horst.nl                                       ;;Facturen@stratum-horst.nl;;
00001288;TRANS-COM BV;;TRANS-CO;NOBELSTRAAT 30;3846 CG ;HARDERWIJK;NL      ;T.a.v. Marc Dam;0341-456736;06-83526592;marc@trans-com.nl                                           ;;Irma@trans-com.nl;;
00001289;HACO TAIL LIFT PARTS;;HACO    ;LAAN VAN DE RAM 11;7324 BW ;APELDOORN                     ;NL      ;;055-5330510    ;;info@haco-parts.com                                         ;;;;
00001290;NAGEL HYDRAULICS BV;;NAGEL HY;AMPERESTRAAT 21;1446 TR ;PURMEREND;NL      ;T.a.v. J. Nagel-de Wilde;0299460978;0655531717;info@nagelbv.nl                                             ;;Factuur@nagelbv.nl;;
00001291;J.G. VAN GINKEL LMB;;GINKEL  ;DORPSWEG 47A;3738 CA ;MAARTENSDIJK;NL      ;;0346-212802;06-10763222;verkoop@lmbvanginkel.nl                                     ;;;;
00001292;VETH PROPULSION;;VETH PRO;GRIENDWEG 1;3356 LN ;PAPENDRECHT;NL      ;S. CANSIZ;0786152266;;sales@veth.net                                              ;;Facturatie@veth.net;;
00001293;GÖRITZLEHNER;;GORITZLE;DIAMANTSTRAAT 30;7554 TA ;HENGELO ;NL      ;;074-2558000;;info@goritzlehner.nl                                        ;;;;
00001294;Staad B.V.;;STAAD B.;Doornhoek 3945;5465 TC ;VEGHEL  ;NL      ;Dhr. B. Vermeer;0413-725111;;bas@staad-groep.nl                                          ;;;;
00001295;GEVEKE PARKERSTORE;;GEVEKE  ;KABELWEG 21             ;1014 BA ;AMSTERDAM                     ;NL      ;;020-5829111    ;;info@geveke.com                                             ;frans.hoogerwerf@geveke.com;creditwtb@geveke.com;Cko@geveke.com;
00001296;RIGTER HANDELSONDERNEMING BV;;RIGTER  ;NIEUWE MAATSWEG 7;3755 NP ;EEMNES  ;NL      ;Dhr. G. Rigter;035-5310628;06-53370935;gf.rigter@gmail.com                                         ;;invoice.rigter@gmail.com;;
00001297;GEWO TECHNISCHE; DIENSTVERLENING;WOLF    ;ORANJEWEG 110;8166 JD ;EMST    ;NL      ;T.a.v. G. Wolf;06 - 22 50 77 77;;info@gerbenwolf.nl                                          ;;Info@gerbenwolf.nl;;
00001298;OOSTERHOF HOLMAN INFRA BV;;OOSTERHO;KIEVITSWEG 13;9843 HA ;GRIJPSKERK;NL      ;T.a.v Dhr. N.A. Nauta;0594-280123;;info@oosterhof-holman.nl                                    ;;;;
00001299;VAN OMMEREN MACHINES;;OMMEREN ;POSTWEG 116;6741 ML ;LUNTEREN GLD;NL      ;H. VAN OMMEREN;0318-576916;;info@vomach.nl                                              ;;Facturen@vomach.nl;;
00001301;SVgroup B.V.;;SVGROEP ;MORSWEG 18, DEUR 9;7461 AG ;RIJSSEN ;NL      ;T.a.v. K. Roelofs;0548516840;06-21223410;orderconfirmation@svgroup.nl                                ;sanderink@svgroup.nl;invoice@svgroup.nl;;
00001302;PERDOK B.V.;;PERDOK B;AZIEWEG 4;9407 TG ;ASSEN   ;NL      ;Dhr. G. Dolfing;0592-377488;;info@perdok.nl                                              ;hydrauliek@perdok.nl;Facturen@perdok.nl;;
00001303;THERMOPOL KUNSTSTOFTECHNIEK NV;;THERMOPO;RIJKMAKERLAAN 43;2910    ;ESSEN   ;BE      ;T.a.v. W. Bakker;0032-036900340;;info@thermopol.be                                           ;wytze.bakker@thermopol.nl;Invoices.thermopol@polem.nl;;
00001304;TEBUVO;;TEBUVO  ;Noorsestraat 1;7202 CJ ;ZUTPHEN ;NL      ;T.a.v. T. Tuitert;0575-469206;06-53632950;info@tebuvo.nl                                              ;;Facturen@tebuvo.nl;;
00001305;SHS Hydraulics Groningen B.V.;;SHS GRON;Stavangerweg 1A;9723 JC ;GRONINGEN;NL      ;DHR. ROLAND;050-3119111;;groningen@shshydraulics.nl                                  ;;Info@shshydraulics.nl;;
00001306;NAROVI;;NAROVI  ;KADIJK 8;8531 XD ;LEMMER  ;NL      ;T.a.v. E. van Dijk;0514-533111;;eddy@narovi.nl                                              ;eddy@narovi.nl;Eddy@narovi.nl;;
00001307;HYDRAULIC SYSTEMS ENGINEERING;;HSE     ;SCHORSWEG 8;8171 ME ;VAASSEN ;NL      ;;0578-615811;06-13472220 jami;info@hsebv.nl                                               ;;Administratie@hsebv.nl;;
00001308;VOS HYDRAULICS BV;;VOS HYDR;Havenstraat 2a;9321 DA ;PEIZE   ;NL      ;T.a.v. P. Vos;050-7504671;;info@vos-hydraulics.com                                     ;;;;
00001309;GEBR. LIGTHART CARROSSERIE EN;TANKBOUW BV;LIGTHART;NIJVERHEIDSWEG 3;1751 HG ;SCHAGERBRUG;NL      ;T.a.v. B. Miedema;0031224571201;;inkoop@gebr-ligthart.nl                                     ;;;;
00001310;VREDO DODEWAARD BV;;VREDO DO;WELYSESTRAAT 25A;6669 DJ ;DODEWAARD;NL      ;T.a.v. E van Beek;0488-411254;;orderbevestiging@vredo.com                                  ;;Invoice@vredo.com;;
00001311;VALVECO LOGISTIEK & SERVICE;;VALVECO ;DEVENTERSEWEG 68;2994 LD ;BARENDRECHT;NL      ;TO HELENE MENDES;088-8840000;;sales@valveco.com                                           ;;;;
00001312;HYDROFLEX HYDRAULICS BV;;HYDROFLE;WILLEM BEUKELSZSTRAAT 1;3261 LV ;OUD BEIJERLAND;NL      ;T.a.v. A. de Deugd;0186-620777;;purchase@hydroflex.nl                                       ;;;;M210120 
00001314;TECNOSPIRIT B.V.;;TECNOSPI;FERRANDSTRAAT 4;4251 LL ;WERKENDAM;NL      ;T.A.V. Jolanda, Coen;0183-690925;;info@tecnospirit.nl                                         ;;Ado@tecnospirit.nl;;
00001315;JVS TECHNIEK;;JVS TECH;DRIEBANWEG 25;1607 ML ;HEM     ;NL      ;T.a.v. J. Breedijk;0228-543015;;info@jvs-techniek.nl                                        ;;administratie@jvs-techniek.nl;;
00001316;CARROSSERIEWERK VAN DE WEIJER;;WEIJERPU;NIJVERHEIDSWEG 4-G;3881 LA ;PUTTEN  ;NL      ;T.a.v. D. Bijl;0341-355800;;putten@carrosseriewerk.nl                                   ;;;;
00001317;VAN DEN BROEK MECHANISATIE EN; MACHINEBOUW BV;BROEK   ;OOSTEINDE 5;2825 AH ;BERKENWOUDE;NL      ;T.a.v. M. van den Broek;0182-362652;06-51225285;marco@djvdbroek.nl                                          ;;;;
00001318;GROWA TECHNIEK;;GROWA TE;HOOFDSPOOR 15;8281 MK ;GENEMUIDEN;NL      ;T.a.v. Alfred Groot Wassink;;06-54395192;info@growatechniek.nl                                       ;;Facturen@growatechniek.nl;;
00001319;KOBOUT BV;;KOBOUT B;NIJVERHEIDSWEG 43;3341 LJ ;H.I. AMBACHT;NL      ;T.a.v. M. Zuidmeer;078-6846611;;orders@kangaroo.nl                                          ;;Invoice@kangaroo.nl;;
00001320;VDL Container Systems bv;;VDL CONT;INDUSTRIEWEG 21;5527 AJ ;HAPERT  ;NL      ;T.A.V. M. Francot;0497-387050;;orderbevestiging@vdlcontainersystems.com                    ;a.griffioen@vdlcontainersystems.com;Factuur@vdlcontainersystems.com;;
00001321;LIJNCO B.V.;;LIJNCO B;NEUTRONSTRAAT 6;9743 AM ;GRONINGEN;NL      ;T.a.v. Erik Matter;050-3669404;;gaasendam@lijnco.nl                                         ;;;;
00001322;KONSTRUKTIEWERKEN BORGER BV;;BORGER  ;PROVINCIALE WEG 17;3645 CN ;VINKEVEEN;NL      ;T.a.v. Y Reurings-de Lange;0297261276;;info@konstruktiewerkenborger.nl                             ;;;;
00001323;L. TIMMERMAN & ZONEN BV;;TIMMERMA;SILOWEG 1;4338 PB ;MIDDELBURG;NL      ;A. de Vlieger;0118-611351;06-11860192;arnold@ltimmerman.nl                                        ;;administratie@ltimmerman.nl;;
00001324;RST Geesbrug VOF.;;RST GEES;Coevorderstraatweg 42; 7917 PS;GEESBRUG;NL      ;Herke Meppelink;;06-50443099;info@rstgeesbrug.nl                                         ;hmeppelink20@hotmail.com;;facturen@rstgeesbrug.nl;
00001325;VAN WIJK BV - WERKENDAM;;WIJK    ;BIESBOSCHHAVEN NOORD 2;4251 NL ;WERKENDAM;NL      ;T.a.v. B. Smit;0183502088;;bert@vanwijkwerkendam.nl                                    ;;Administratie@vanwijkwerkendam.nl;;
00001357;SØRENSEN & KOFOED A/S;;SORENSEN;SMEDEHOLM 7-9;2730    ;HERLEV  ;DK      ;Att: Kasper Høier Nielsen;004544854528;;khn@skdk.dk                                                 ;;;;
00001359;Hoppe Truck Hydraulik GmbH &;Co. KG;HOPPE   ;Püsselbürener Damm 244;49479   ;IBBENBUREN;DE      ;Z.H. Herrn S. Lippik;0049-54513058;;einkauf@hoppe-hydraulik.de                                  ;;;;
00001360;HAGRON FLUID SYSTEMS;;HAGRON  ;RIJKSWEG ZUID 45;6662 KC ;ELST    ;NL      ;WIJNAND HENDRIKSEN;0481-372036;06-53832052;info@hagron.nl                                              ;;;;
00001362;BVBA GKN WALTERSCHEID BELGIUM;;GKN     ;SCHURHOVENVELD 4220;B-3800  ;SINT-TRUIDEN;BE      ;;0032-11590260;210-0582032-84;;;;;
00001363;HEYLENS BVBA;;ZHEYLENS;ESSENESTRAAT 18;B-1740  ;TERNAT  ;BE      ;MARCEL HEYLENS;0032-25820393;;marcel.heylens@heylensbvba.be                               ;jan.heylens@heylensbvba.be;Marcel.heylens@heylensbvba.be;;M010117 
00001364;HELLINGS HYDRAULICS BVBA;                        ;HELLINGS;AMBACHTSLAAN 1053;3990    ;PEER    ;BE      ;;003211633360   ;;info@hellingshydraulics.be                                  ;;;;
00001365;KARCHER NV;;KARCHER ;BOOMSESTEENWEG 939;2610    ;WILRIJK (ANTWERPEN);BE      ;BE0418334076;0032-33400718;;warehouse@be.kaercher.com                                   ;;crediteuren@be.kaercher.com;;
00001440;HEKAMP WERKTUIGEN & AANBOUWDEL;;HEKAMP L;KRUISWEG 4;3774 TJ ;KOOTWIJKERBROEK;NL      ;HENK KAMPERT JUNIOR;0342-441856;;henk.jr@hekamp.nl                                           ;;Henk.jr@hekamp.nl;;
00001450;HSS HYDRAULICS;;HSS     ;KAPTEYNLAAN 6;9351 VG ;LEEK    ;NL      ;DHR. R.O. HELMHOUT;0594-515756;06-22990108;info@hsshydraulics.com                                      ;;Factuur@hsshydraulics.com;;
00001451;HELMHOUT HOLDING B.V.;;HELMHOUT;KAMERLINGH-ONNESSTRAAT;9351 VD ;LEEK;NL      ;;;;;;;;
00001452;ERIKS BV;ROERMOND;ERIKS   ;ALBERT EINSTEINWEG 8;6045 GX ;ROERMOND;NL      ;R. MEIJ;0475-372233;;ocpt@eriks.nl                                               ;;Facturen@eriks.nl;;
00001465;FLUICONNECTO B.V.;;FLUICONN;LOGISTICS BOULEVARD 11;4791 VC ;KLUNDERT;NL      ;T.a.v. D. van Avermaete;0180-511411;;klundert@fluiconnecto.nl                                    ;;Invoice@fluiconnecto.nl;;
00001467;FLUICONNECTO BV;;FLUICONN;SAFFIERSTRAAT 5;7554 TE ;HENGELO ;NL      ;;074-2503310;;hengelo@fluiconnecto.nl                                     ;;;;
00001468;FLUICONNECTO NV;ANTWERPEN;FLUICONN;NOORDERLAAN 97A;2030    ;ANTWERPEN;BE      ;CLEMENT GOOSSEN;0032-35415495;;antwerpen@fluiconnecto.be                                   ;;;;
00001469;DIESSE RUBBER HOSES;To Sara;DIESSE R;VIA PROVINCIALE 8;24040   ;FILAGO  ;IT      ;;00390354942300;;sara.merati@diesserubber.com                                ;;;;
00001470;HEWI SLANGEN BV;;HEWI    ;BEDRIJVENPARK TWENTE 3;7602 KA ;ALMELO  ;NL      ;HERALD SMIT;0546-573017;0546-578416;info@hewi-slangen.nl                                        ;;Administratie@hewi-slangen.nl;;
00001471;HENSTEK WIJCHEN BV;;HENSTEK ;BIJSTERHUIZEN 51-20;6604 LX ;WIJCHEN ;NL      ;;024-6413649;;post@henstek.nl                                             ;;;;
00001472;ALLSEAS ENGINEERING B.V.;;ALL SEAS;POORTWEG 12;2612 PA ;DELFT   ;NL      ;Dhr. H. van Overbeek;0152681467;0622524963;hvob@allseas.com                                            ;;;;
00001473;HOOPMAN MACHINES BV;;HOLANDA ;DINXPERLOSESTRAATWEG 145;7122 JP ;AALTEN  ;NL      ;T.a.v. Dhr. H. Wiggers;0543-466224;;h.wiggers@holaras.nl                                        ;;;;
00001474;WESTEND BV;;WESTEND ;MEER EN DUIN 25;2163 HB ;LISSE   ;NL      ;T.a.v. C. Wassenaar;0252-419048;;cwassenaar@westendbv.nl                                     ;;;;
00001475;HKR KRAANREPARATIE;;HKR KRAA;ELECTRONWEG 17a;1627 LB ;HOORN   ;NL      ;T.a.v. B. van Westen;;06-30486979;ben@hkrkraanreparatie.nl                                    ;;;;
00001501;KERP        FAILLIET;NIET MEER GEBRUIKEN;KERP    ;L.J. COSTERSTRAAT 47;5916 PR ;VENLO  -  NEDERLAND;NL      ;;0773541441;;;;;;C210705 
00001502;KERP REMMENSERVICE;;KERP REM;L.J. KOSTERSTRAAT 55;5916 PR ;VENLO   ;NL      ;TOUS KRUCERS;077-3546160;;tkrugers@kerpvenlo.nl                                       ;;;;
00001516;GROOT TECHNIEK;;GROOT TE;WINKELERZAND 3-7;1731 LR ;WINKEL  ;NL      ;;0224544444;;v.schouten@groot.nl                                         ;;;;
00001517;V.O.F. GROENEWOLD;TRANSPORTBEDRIJF;GROENEWO;OOSTERSTRAAT 57;9502 EE ;STADSKANAAL;NL      ;;0599-612098;;PLANNING@GROENEWOLD-TRANSPORT.NL                            ;;;;
00001519;GSS HYDRAULICS;;GSS     ;ROKERIJWEG 25A;1271 AH ;HUIZEN  ;NL      ;;035-5265302    ;;info@gsshydraulics.nl                                       ;;;;
00001540;VAN DE GEVEL LMB;;GEVEL   ;RONDVEN 13;6026 PX ;MAARHEEZE;NL      ;;0495-591116;;vande.gevel@hetnet.nl                                       ;;Facturen@vandegevelmechanisatie.nl;;
00001554;OUDSHOORN;;OUDSHOOR;J. BIJZERWEG 18;3446 CR ;WOERDEN;NL      ;;;;info@oudshoorn-hydraulics.nl                                ;;;;
00001559;MAN NEDERLAND DEALER B.V.;MAN VARSSEVELD;MAN     ;;        ;        ;NL      ;HENK VAN ZANDVOORT;024-3434560;Vars 0315659170;info@citambedrijfswagens.nl                                 ;;accounts.payable.pah@pon.com;;
00001560;SANKOO VERHUUR EN SERVICE BV;;SANKOO  ;LOO 3;5571 KN ;BERGEIJK;NL      ;;0497-573871;;info@sankoo.com                                             ;;;;
00001561;DUPORT;;DUPORT  ;ARCHIMEDESSTRAAT 9;7701 SG ;DEDEMSVAART;NL      ;;0523-613493;;roelof@duport.nl                                            ;;Facturatie@duport.nl;;
00001562;de Tuimelaar;;DE TUIME;A-weg 20 ;9718 CV ;GRONINGEN;NL      ;;0503133299;;maarten@tuimelaar.nl;;Maarten@tuimelaar.nl;;
00001563;S.I.S.A.;;SISA    ;DE AREND 10;8210    ;ZEDELGEM;BE      ;;003250250190;;;;;;
00001564;VAN DINTHER BV;;DINTHER ;INFANTERIESTRAAT 1;5363 VW ;VELP    ;NL      ;T.a.v. M. Hendriks;0486-473068;;info@vandinthervelp.nl                                      ;;;;
00001571;VAN ENGELEN;;ENGELEN ;Industrieweg 84;8255 PC ;SWIFTERBANT;NL      ;E.v.Engelen;0321-320002;;;;;;
00001572;LEBOTEC BV;;LEBOTEC ;EDISONSTRAAT 34;6604 BV ;WIJCHEN ;NL      ;T.a.v. J. Lepoutre;024-7111010;084-2153214;werkplaats@lebotec.nl                                       ;info@lebotec.nl;Administratie@lebotec.nl;;
00001580;EVERS AGRO B.V.;;EVERSAGR;BEDRIJVENPARK TWENTE 326;7602 KL ;ALMELO  ;NL      ;DHR. F. TRENNING;0546-644866;;purchase@eversagro.nl                                       ;;Office@eversagro.nl;;
00001585;ERIKS BV;;ERIKS   ;DETROITSTRAAT 20;3047 BD ;ROTTERDAM;NL      ;DHR. MOLIJN;010-2455000;;;;Facturen@eriks.nl;;
00001590;OVERLANDER B.V.;;OVERLAND;MORSEWEG 2;3899 BK ;ZEEWOLDE;NL      ;MARCEL BRUNINGS;036-5219200;;info@overlander.nl                                          ;;;;
00001595;ERIKS SERVICECENTER ALMELO;BAUDOIN GROEP;ERIKS   ;PLESMANWEG 12;7602 PE ;ALMELO  ;NL      ;B. HEUKER;0546-873070;;almelo@baudoin.be                                           ;;;;
00001596;HANDELSONDERNEMING INJA;;INJA    ;VOLTASTRAAT 56;7006 RW ;DOETINCHEM;NL      ;;0314-392247;06-20545140;inja.dtc@planet.nl                                          ;;;;
00001601;DEKEYSER BVBA;;DEKEYSER;ALBERT-1-LAAN 52;8630    ;VEURNE;B       ;;003258314531;;;;;;
00001602;AOE TECHNIEK;;AOE TECH;MARCONIWEG 1;7591 HH ;DENEKAMP;NL      ;T.a.v. A. Oude Enberink;0541-350649;06-51844481;info@aoetechniek.nl                                         ;;;;
00001603;VISSERS HEFTRUCK SERVICE BV;;VHS BLAD;FABRIEKSWEG 8;5531 PP ;BLADEL  ;NL      ;T.a.v. Luuk Tielemans;0497-331033;;magazijn@vhsbladel.nl                                       ;;Administratie@vhsbladel.nl;;
00001607;AGIVA INTERNATIONAL BVBA;;AGIVA   ;KROMMEWEGE 24B;9990    ;MALDEGEM;BE      ;Jorrit Parmentier;003250712660;;jorrit@agiva.eu                                             ;;;;
00001610;MEES VD BRINK;INDUST.TERR. BRAMMELO;MEES    ;TOLSTRAAT  26;7482 DB ;HAAKSBERGEN - NEDERLAND;NL      ;JAN / RONNIE EN HERMAN;0535728785;;purchasing@meesvandenbrink.nl                               ;;crediteuren@meesvandenbrink.nl;;
00001611;MEES VAN DEN BRINK BV;RIDDERKERK;MEES VAN;WAGENMAKERSSTRAAT 2A;2984 BD ;RIDDERKERK;NL      ;TOM VAN KERCHOVE;;;purchasing@meesvandenbrink.nl                               ;kerchove@meesvandenbrink.nl;Kerchove@meesvandenbrink.nl;;
00001613;MEES VAN DEN BRINK BVBA;;MEES VAN;CONSERVENWEG 12D;2940    ;STABROEK;BE      ;PETER RAES;0032-33037124;;info@meesvandenbrink.be                                     ;;;;
00001614;MEES VAN DEN BRINK GMBH;;MEES VAN;GRUSONSTRASSE 71;D-22113 ;HAMBURG ;DE      ;Christel te Riet;;;purchasing@meesvandenbrink.nl                               ;;Crediteuren@meesvandenbrink.nl;;
00001615;VENEMA INSTALLATIONS BV;;VENEMA  ;BORKUMWEG 14;9979 XH ;EEMSHAVEN;NL      ;HENDRIK EERKENS;0596-518280;;info@venema-installations.com                               ;;invoice@venema-installations.com;;
00001616;BRABANT TRAILERS BV;;BRABANT ;KONINGSHOEK 12;5094 CD ;LAGE MIERDE;NL      ;H. SMOLDERS;013-5092855;;;;;;M25-0605
00001617;R & C MACHINES;;R & C MA;INDUSTRIEWEG 5;5091 BG ;MIDDELBEERS;NL      ;T.a.v. Jarrick;06-13139252;;info@rcmachines.nl                                          ;;Factuur@rcmachines.nl;;
00001708;MEES VAN DEN BRINK  - V;;MEES VAN;DE SMALLE ZIJDE 16;3903 LP ;VEENENDAAL  -  NEDERLAND;NL      ;;0318550466;;vincent@meesvandenbrink.nl                                  ;;Crediteuren@meesvandenbrink.nl;;
00001713;HYDROSTA BV;;HYDROSTA;DE KALKOVENS 4;8064 PS ;ZWARTSLUIS;NL      ;;038-3866464;;info@hydrosta.nl                                            ;;Jhamstra@hydrosta.nl;;
00001714;HYDRO WEST B.V.;;HYDRO WE;DE FACTORIJ 12/B;1689 AL ;ZWAAG;NL      ;T.a.v. Winfred;0229-263441;;inkoop@hydrowest.nl                                         ;;Factuur@hydrowest.nl;;
00001717;HOLMBURY LTD;TOWER HOUSE;HOLMBURY;Premier House 1 Vale Rise;TN9 1TB ;TONBRIDGE, KENT;GB      ;To Johnathan Jarvis;0044-1732357333;;johnathan@holmbury.com                                      ;;Gwyn@holmbury.com;;
00001721;SPAN SOMEREN BV;;SPAN SOM;POSTBUS 121;5710 AC ;SOMEREN  -  NEDERLAND;NL      ;;0493495884;67.38.54.787;;;;;
00001750;VOTEX;;VOTEX   ;GROEN 2;6666 LP ;HETEREN ;NL      ;R. VAN MEERTEN;026-4790600;;;;;;
00001756;VAN VLASTUIN AGRO;;VLASTUIN;SCHAMPSTEEG 12;6718 VD ;EDE     ;NL      ;;0318-651808;06-53907358;vlastuin.transport@12move.nl                                ;;;;
00001776;KRUITBOSCH & DE WEERD DEVENTER;;KRUITBOS;DORTMUNDSTRAAT 10;7418 BH ;DEVENTER  - NEDERLAND;NL      ;;;;klaasvandekraats@kenw.nl                                    ;;Bert@kenw.nl;;
00001780;KNAPEN TRAILERS;;KNAPEN T;THEO VAN DOESBURGSTRAAT 8;5753 DL ;DEURNE  ;NL      ;T.a.v. H. Groot;0493-320330;;inkoop@knapen-trailers.nl                                   ;jmanders@knapen-trailers.nl;finance@knapen-trailers.nl
;;
00001781;KNAPEN SERVICE BV;;KNAPEN T;LIESSELSEWEG 141;5753 PN ;DEURNE  ;NL      ;;0493-326666;;bvandenberkmortel@knapen-service.nl                         ;jmanders@knapen-trailers.nl;finance@knapen-service.nl;;
00001784;TONG MYUNG BENELUX B.V.;;TM      ;HEESAKKERWEG 16;5721 KP ;ASTEN   ;NL      ;JOS CROUWERS;0493-342470;0653773696;info@tm-benelux.com                                         ;;;;
00001785;KORTIER & ZN.;;KORTIER ;HAARWEG 7;7497 MT ;BENTELO ;NL      ;MARTIJN KORTIER;0547-292267;;info@kortiermechanisatie.nl                                 ;;;;
00001786;THOMA HYDRAULICS BV;;THOMA HY;DIAMANTWEG 24A;1812 RC ;ALKMAAR ;NL      ;;0229-272759;06-10573578;info@thoma-hydraulics.nl                                    ;;Administratie@thoma-hydraulics.nl;;
00001787;R. P. VAN DER HEIDE;LAS EN MONTAGEWERK;HEIDE   ;LEURINGSLAAN 57;9351 NT ;LEEK    ;NL      ;T.a.v. R van der Heide;;06-26666483;rpheide@gmail.com                                           ;;;;
00001788;B.V.S.H. SUPPORT & HYDRAULICS;;BVSH    ;ELLERWEG 1A;6073 RR ;KELPEN-OLER;NL      ;T.a.v. B. Vossen;;06-19993504;bvsh.support.hydraulics@gmail.com                           ;;Bvsh.invoices@gmail.com;;
00001789;Pondus Operations B.V.;;PONDUS O;VUURIJZER 23 (GEBOUW EBUSCO);5753 SV ;DEURNE  ;NL      ;T.a.v. Peter Noordermeer;0881100200;;purchase@pondus.tech                                        ;;;;
00001817;BOSCH REXROTH BV;;BOSCH RE;KRUISBROEKSESTRAAT 1;5281 RV ;BOXTEL  ;NL      ;;;;;;;;
00001825;TECH.BUREAU D.de BREUK B.V.;;BREUK   ;OOSTGOUWEWEG 4;2407 BD ;ALPHEN A/D RIJN;NL      ;T.A.V.  D. DE BREUK;0172-492445;;info@debreukbv.nl                                           ;;debreukbv@planet.nl;;
00001850;DE BRUIN BV BODEGRAVEN;LMB EN CONSTRUCTIEBEDRIJF;BRUIN   ;DAMMEKANT 115;2411 CC ;BODEGRAVEN;NL      ;;0172-615100;;lmbdebruin@tref.nl    www.lmbdebruin.nl                     ;;;;
00001851;BRINKOFLEX GMBH;;BRINKOFL;OTTOSTRASSE 6;45770   ;MARL    ;DE      ;T.a.v. D.J. Appel;00492365503580;;dj@brinkoflex.de                                            ;;;;
00001858;M.BOS & ZN B.V      BEMAX;;M.BOS & ;DE SCHANS 21;2405 XX ;ALPHEN AAN DE RIJN - NEDERLAND;NL      ;;0172492841;65.24.13.226;;;;;
00001865;GHEYSENS & VERPOORT NV;;GHEYSENS;MOESKROENSTRAAT 624;8930    ;MENEN;B       ;;003256413945;;;;;;
00001976;DEVRIETECH;;DEVRIE  ;Oosteinde 219;7671 AX ;VRIEZEVEEN                    ;NL      ;;0546-564951;;info@devrie.com                                             ;;Administratie@devrie.com;;
00002000;DE VLAS TRANSPORT BV;;VLAS    ;KORTE LIJNBAAN 35;8861 NS ;HARLINGEN;NL      ;DHR R. BOONSTRA;;06-29593376;;;;;
00002001;COSMO TRUCKS B.V.;Filiaal Lochem 73;COSMO TR;KWINKWEERD 15;7241 CW ;LOCHEM;NL      ;;0573-297100;;info.lochem@cosmotrucks.nl                                  ;;;;
00002002;RAIL PRODUCTS;REDEFINING PARAMETERS;RAIL PRO;EFFENSEWEG 1;4838 BA ;BREDA   ;NL      ;;0682203483;;fred@improved-rail-products.eu                              ;;;;
00002003;RPC BRAMLAGE ANTWERPEN NV;;RPC BRAM;TERBEKEHOFDREEF 29;B-2610  ;WILRIJK ;BL      ;HEIRMAN ROBBY;00032038704280;;info@rpcba.be                                               ;;;;
00002004;BREEDVELD EN WEAVER B.V.;TECHNISCHE GROOTHANDEL;BREEDVEL;GEORGE STEPHENSONWEG 33;3133 KJ ;VLAARDINGEN;NL      ;Dhr. J. A. Vogel;010-4358522;;info@breedveld-weaver.nl                                    ;hans@brewe.nl;;;
00002005;VAMECO BV;;VAMECO B;ZEEPZIEDERIJSTRAAT 5;8600    ;DIKSMUIDE;BE      ;LUC VAN BELLE;0032-51500117;;lvb@vameco.be                                               ;;boekhouding@vameco.be;;
00002006;GP HYDRAULICS;;GP HYDRA;INDUSTRIEWEG 8C;2404 BZ ;ALPHEN AAN DE RIJN;NL      ;GUIDO POMMERL;0172707020;06-41249906;info@gphydraulics.nl                                        ;;;;
00002007;VERHOEF MECHANISATIE VOF;                        ;VERHOEF ;OUDE GARDERENSEWEG 9    ;8075 PL ;ELSPEET                       ;NL      ;;0577-491255    ;;info@verhoefmechanisatie.nl                                 ;;;;
00002008;M.A. VAN DER SLUIS;;SLUIS   ;SCHOOLWEG 74;1787 AW ;JULIANADORP;NL      ;;0223 64 21 41;;info@maartenvandersluis.nl                                  ;;;;
00002009;CONRAD STANEN BV;;CONRAD S;ESCUDO 21;8305 BM ;EMMELOORD;NL      ;Dhr. B. Muurling /M. Nijmeijer;0527-697196;;info@conrad-stanen.com                                      ;werkplaats@conrad-stanen.nl;crediteuren@conrad-stanen.nl;;
00002010;SPARES CENTER ROTTERDAM BV;;SCR     ;HAVEN 15;2921 AA ;KRIMPEN A/D IJSSEL;NL      ;T.a.v. S.K. Chau;0180-516555;0653898888;mail@sparescenter.com                                       ;;;;
00002011;VULBEDRIJF COSET;;COSET   ;HANDELSWEG 9;5331 PS ;KERKDRIEL;NL      ;T.a.v. J. Coset;;John 06-55703700;vulbedrijfcoset@planet.nl                                   ;;;;
00002012;GIEVEMA BV;;GIEVEMA ;DE HAMMEN 17;5371 MK ;RAVENSTEIN;NL      ;;0486415370;;info@gievema.nl                                             ;;administratie@roelama.nl;;
